time,F1xx,F1xy,F1xz,M1xz,F1yy,F1zz,M1yy,M1zz,F3x,F3y,F3z,M3z,F3yy,F3zz,M3yy,M3zz
0.56,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.68,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.88,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.93,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.94,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
